34422 | 33132 | 2834
8576 | 65162 | 750
12 | 35625 | 750
30 | 34270 | 916
16 | 33904 | 834
10 | 33672 | 750
6206 | 33502 | 750
8192 | 33428 | 2208
8352 | 33381 | 750
8454 | 33487 | 709
8281 | 43595 | 1042
29 | 40011 | 708
13 | 39918 | 833
1902 | 42094 | 20276181
12 | 34497 | 6844905
9266 | 33200 | 833
6108 | 40254 | 833
1682 | 74405 | 3373933
40 | 68210 | 667
33 | 44406 | 750
40 | 43234 | 1042
36 | 38885 | 1041
33 | 49519 | 791
221 | 66031 | 2010935
31 | 33153 | 667
15 | 33149 | 667
12 | 33147 | 791
10 | 33144 | 875
17 | 33143 | 791
10 | 33142 | 2666
23 | 33140 | 1340040
12 | 33138 | 1000
9 | 33138 | 1125
26 | 33137 | 708
11 | 33135 | 792
2188 | 33134 | 962428
8647 | 33134 | 730643
8594 | 33132 | 709
8715 | 33132 | 875
8706 | 33131 | 833
8522 | 33131 | 579606
8684 | 33131 | 667
8819 | 33130 | 750
8473 | 33129 | 792
8658 | 33129 | 750
8680 | 33128 | 708
8676 | 33128 | 460110
8684 | 33127 | 709
8739 | 33127 | 750
8632 | 33127 | 750
8662 | 33166 | 369364
8660 | 33126 | 792
8664 | 33126 | 667
8612 | 33126 | 667
9574 | 33125 | 834
7829 | 33125 | 306532
8572 | 33125 | 708
8623 | 33125 | 750
8657 | 33124 | 750
8711 | 33124 | 708
8645 | 33124 | 258325
8654 | 33124 | 227701
8787 | 33124 | 833
8611 | 33123 | 708
10978 | 33123 | 195202
6409 | 33123 | 708
8650 | 33124 | 750
8760 | 33123 | 170994
8571 | 33123 | 708
8668 | 33123 | 708
8699 | 33123 | 917
8698 | 33122 | 147662
9838 | 33122 | 750
7407 | 33122 | 792
8628 | 33123 | 875
8678 | 33131 | 133704
8674 | 33122 | 122413
8653 | 33122 | 791
8741 | 33122 | 109455
8650 | 33122 | 750
8625 | 33122 | 916
8660 | 33121 | 834
8772 | 33122 | 708
8724 | 33121 | 94789
8656 | 33122 | 709
8628 | 33121 | 708
8660 | 33121 | 708
9186 | 33122 | 708
8209 | 33121 | 667
8596 | 33121 | 833
8625 | 33121 | 1000
8954 | 33121 | 750
8420 | 33121 | 83248
9072 | 33121 | 2000
8230 | 33121 | 833
8677 | 33121 | 708
8669 | 33121 | 750
8896 | 33125 | 81330
8533 | 33120 | 750
10289 | 33121 | 792
7065 | 33120 | 74123
8717 | 33121 | 667
8607 | 33120 | 2875
9092 | 33120 | 625
8275 | 33120 | 1333
8722 | 33120 | 708
8653 | 33121 | 67789
8552 | 33120 | 833
8652 | 33120 | 65331
8716 | 33134 | 875
8682 | 33120 | 917
8599 | 33120 | 59540
8685 | 33120 | 958
11143 | 33120 | 667
6393 | 33120 | 959
8578 | 33120 | 833
8670 | 33120 | 958
8751 | 33120 | 53374
8594 | 33119 | 916
8667 | 33120 | 792
8665 | 33120 | 51832
8679 | 33120 | 666
8695 | 33120 | 1083
8584 | 33121 | 791
8668 | 33120 | 48123
8747 | 33120 | 833
8609 | 33120 | 46332
8651 | 33120 | 875
8665 | 33120 | 958
8684 | 33119 | 42624
8847 | 33119 | 1334
8588 | 33119 | 1000
8657 | 33120 | 39957
8752 | 33120 | 667
8799 | 33120 | 916
8522 | 33120 | 708
8640 | 33119 | 1000
8665 | 33119 | 36665
8717 | 33120 | 916
8610 | 33119 | 750
9401 | 33120 | 35790
7948 | 33119 | 792
8597 | 33119 | 1667
8698 | 33119 | 916
8647 | 33120 | 750
8737 | 33119 | 833
8675 | 33120 | 750
8613 | 33119 | 32582
10460 | 33120 | 792
7044 | 33120 | 32791
8649 | 33120 | 1375
8680 | 33119 | 833
8616 | 33119 | 709
8685 | 33121 | 708
8698 | 33120 | 792
10163 | 33119 | 709
7166 | 33120 | 28165
8652 | 33119 | 708
8719 | 33120 | 667
8553 | 33119 | 833
8672 | 33119 | 1458
8685 | 33480 | 27833
11607 | 33120 | 750
5386 | 33119 | 791
8836 | 33120 | 750
8602 | 33119 | 708
8649 | 33119 | 27124
8784 | 33120 | 750
8571 | 33119 | 2708
8671 | 33120 | 27707
8668 | 33120 | 2916
8695 | 33119 | 27832
8781 | 33119 | 667
8466 | 33121 | 3208
8688 | 33119 | 958
8703 | 33119 | 2541
8623 | 33119 | 23208
8727 | 33119 | 3250
8620 | 33119 | 24082
9258 | 33119 | 2875
8158 | 33119 | 708
8696 | 33119 | 3333
8671 | 33119 | 1542
8684 | 33119 | 23999
8681 | 33124 | 1166
8669 | 33120 | 26208
8654 | 33119 | 1416
8685 | 33120 | 21541
8747 | 33119 | 833
9505 | 33119 | 917
7682 | 33119 | 917
8680 | 33119 | 1000
8682 | 33119 | 19499
8683 | 33119 | 833
8692 | 33119 | 19583
8629 | 33120 | 750
8698 | 33119 | 750
10106 | 33139 | 709
7467 | 33119 | 22166
8545 | 33118 | 625
8626 | 33119 | 2667
8677 | 33119 | 708
8642 | 33119 | 3125
8692 | 33119 | 667
8667 | 33119 | 2791
8690 | 33120 | 17458
8624 | 33119 | 3208
8690 | 33119 | 2375
8617 | 33119 | 3375
8707 | 33119 | 750
8678 | 33118 | 3042
11094 | 33119 | 1458
6217 | 33119 | 3042
8673 | 33119 | 19249
8800 | 33119 | 2166
8708 | 33119 | 1999
8619 | 33118 | 1416
8679 | 33119 | 17583
8652 | 33119 | 1125
8748 | 33119 | 1042
8613 | 33119 | 2084
8655 | 33119 | 2084
8666 | 33119 | 16874
8669 | 33119 | 1000
9192 | 33119 | 16291
8110 | 33119 | 2875
8663 | 33119 | 3125
8717 | 33119 | 833
10141 | 33119 | 3166
7214 | 33119 | 14333
8637 | 33120 | 2583
8757 | 33119 | 834
8651 | 33119 | 3667
27579 | 33119 | 3250
10 | 33118 | 16791
10 | 33119 | 750
7157 | 33118 | 1667
8617 | 33119 | 959
8875 | 33119 | 14583
8512 | 33119 | 1250
8627 | 33119 | 14499
8602 | 33119 | 792
8671 | 33119 | 792
8748 | 33119 | 958
8613 | 33119 | 750
8668 | 33119 | 916
8701 | 33119 | 791
8697 | 33119 | 12375
8732 | 33118 | 709
8657 | 33118 | 792
8656 | 33119 | 13166
8716 | 33119 | 708
8623 | 33119 | 708
8711 | 33119 | 750
8639 | 33119 | 917
8739 | 33118 | 750
8579 | 33118 | 750
8632 | 33119 | 11583
8692 | 33119 | 708
8675 | 33118 | 750
11494 | 33119 | 792
5888 | 33119 | 750
8648 | 33131 | 792
8693 | 33119 | 11666
8724 | 33119 | 750
8671 | 33118 | 834
8657 | 33118 | 12000
8690 | 33119 | 667
8665 | 33119 | 708
8675 | 33118 | 749
8676 | 33119 | 11333
8668 | 33119 | 750
8871 | 33119 | 667
8412 | 33119 | 666
