0 | 0 | 0 | 57871
0 | 0 | 0 | 0
0 | 58501 | 0 | 0
0 | 59520 | 0 | 0
58633 | 0 | 0 | 0
0 | 0 | 0 | 59989
0 | 57991 | 0 | 0
0 | 0 | 0 | 0
58533 | 0 | 0 | 0
0 | 0 | 0 | 60059
58150 | 0 | 60715 | 0
60756 | 0 | 0 | 0
58468 | 0 | 0 | 60557
0 | 0 | 0 | 0
0 | 60838 | 0 | 59501
57988 | 0 | 0 | 0
59751 | 0 | 0 | 0
60548 | 0 | 0 | 59800
0 | 60490 | 59423 | 0
59016 | 0 | 0 | 0
57864 | 0 | 0 | 57738
0 | 0 | 0 | 0
0 | 0 | 0 | 0
60803 | 0 | 58881 | 0
58004 | 0 | 0 | 59081
57666 | 0 | 0 | 0
60215 | 0 | 60095 | 0
0 | 0 | 58074 | 0
0 | 0 | 57772 | 0
59559 | 0 | 0 | 60415
58560 | 0 | 0 | 58568
60498 | 0 | 0 | 0
0 | 57653 | 0 | 60620
60171 | 0 | 58665 | 0
58059 | 0 | 0 | 0
0 | 0 | 58967 | 0
57368 | 0 | 57703 | 0
0 | 57627 | 0 | 0
57871 | 0 | 0 | 58647
58565 | 0 | 59456 | 0
0 | 0 | 0 | 0
59473 | 0 | 0 | 0
58455 | 0 | 0 | 60716
59530 | 0 | 0 | 0
0 | 57506 | 0 | 0
0 | 59701 | 0 | 0
0 | 0 | 0 | 0
59733 | 0 | 0 | 60616
60821 | 0 | 0 | 59412
0 | 58402 | 0 | 0
58420 | 0 | 0 | 0
0 | 0 | 0 | 0
60610 | 0 | 0 | 0
0 | 58668 | 0 | 0
0 | 0 | 0 | 0
58180 | 0 | 0 | 0
57933 | 0 | 0 | 0
60699 | 0 | 0 | 0
57937 | 0 | 57681 | 0
57921 | 0 | 59951 | 60671
59399 | 0 | 0 | 60246
59911 | 0 | 0 | 0
57939 | 0 | 0 | 57622
59910 | 0 | 0 | 57872
59011 | 0 | 0 | 0
58760 | 0 | 0 | 0
0 | 0 | 0 | 60159
0 | 60753 | 0 | 0
60754 | 0 | 0 | 0
59444 | 0 | 0 | 0
0 | 0 | 58072 | 0
0 | 0 | 57545 | 0
57748 | 0 | 0 | 0
0 | 0 | 0 | 0
60212 | 0 | 0 | 0
58538 | 0 | 0 | 0
58410 | 0 | 0 | 0
60599 | 0 | 0 | 0
0 | 0 | 0 | 0
58373 | 0 | 0 | 0
58626 | 0 | 0 | 58181
58154 | 0 | 0 | 0
59520 | 0 | 59958 | 0
58777 | 0 | 0 | 0
58501 | 0 | 0 | 60549
0 | 59499 | 0 | 0
0 | 0 | 0 | 0
0 | 0 | 0 | 0
60175 | 0 | 0 | 0
60519 | 0 | 0 | 58021
60490 | 0 | 0 | 58219
0 | 0 | 60504 | 57908
60059 | 0 | 60483 | 0
57988 | 0 | 0 | 0
0 | 0 | 0 | 0
58160 | 0 | 0 | 58679
60122 | 0 | 59954 | 0
59532 | 0 | 0 | 0
60681 | 0 | 0 | 0
60012 | 0 | 0 | 0
